isbn,titulo_planilha,autor_planilha,titulo_ol,autores_ol,paginas,ano_pub,editora,categorias,obra_key,fonte,http_status
9788564065574,suicidas,raphael montes,Suicidas,Raphael Montes,,2012.0,,,/works/OL41768708W,search_ta,200
9786555606645,tres,valerie perrin,Tre,Valérie Perrin,,2023.0,,,/works/OL43930180W,search_ta,200
9786555655063,a empregada,freida mcfadden,,,,,,,,none,200
9786555655940,o segredo da empregada,freida mcfadden,,,,,,,,none,200
9786555656756,a empregada esta de olho,freida mcfadden,,,,,,,,none,200
9788501116437,a paciente silenciosa,alex michaelides,,,,,,,,none,200
9788501117847,verity,colleen hoover,Verity,Colleen Hoover,,2018.0,,,/works/OL20068530W,search_ta,200
9788551009833,o massacre da familia hope,riley sager,,,,,,,,none,200
9788550804682,storytelling com dados,cole nussbaumer knaflic,,,,,,,,none,200
9788535928358,jantar secreto,raphael montes,Jantar Secreto,Raphael Montes,,2016.0,,,/works/OL26417336W,search_ta,200
9788535941630,dias perfeitos,raphael montes,Dias Perfeitos,Raphael Montes,,2014.0,,,/works/OL19363160W,search_ta,200
9788501923288,nunca minta,freida mcfadden,,,,,,,,none,200
9788562409882,a garota do lago,charlie donlea,A garota do lago,Charlie Donlea,,2017.0,,,/works/OL42775297W,search_ta,200
9788501922045,a professora,freida mcfadden,,,,,,,,none,200
9788581053042,o vilarejo,raphael montes,O Vilarejo,Raphael Montes,,2015.0,,,/works/OL38070591W,search_ta,200
9786555320572,a cantiga dos passaros e das serpentes,suzanne collins,,,,,,,,none,200
9788576574460,laranja mecanica,anthony burgess,,,,,,,,none,200
9786555321449,jogos vorazes,suzanne collins,,,,,,,,none,200
9786555321456,em chamas,suzanne collins,,,,,,,,none,200
9786555321463,a esperanca,suzanne collins,,,,,,,,none,200
9786555325201,amanhecer na colheita,suzanne collins,,,,,,,,none,200
9788543807829,homo deus,yuval noah harari,Homo Deus,Yuval Noah Harari,,2017.0,,,/works/OL27969037W,search_ta,200
9788535933925,sapiens,yuval noah harari,Sapiens,"Yuval Noah Harari, Daniel Casanave, David Vandermeulen, Pierre-Emmanuel Dauzat, Joandomènec Ros i Aragonès, Andoni Sagarna, Xabier Kintana, David Casanave",,2011.0,,,/works/OL17075811W,search_ta,200
9788595710689,discurso sobre o colonialismo,aime cesaire,,,,,,,,none,200
9788577534180,pedagogia do oprimido,paulo freire,Pedagogia do oprimido,Paulo Freire,,1967.0,,,/works/OL1870556W,search_ta,200
9786559790005,modernidade liquida,zygmunt bauman,Modernidad líquida,Zygmunt Bauman,,2003.0,,,/works/OL21460457W,search_ta,200
9788595710078,o capital extratos por paul lafargue,"karl marx, paul lafargue",,,,,,,,none,200
9788598078175,a menina que roubava livros,markus zusak,,,,,,,,none,200
9788580419818,um amor para recordar,nicholas sparks,Um Amor Para Recordar - A Walk To Remember (Em Portugues do Brasil),Nicholas Sparks,,2011.0,,,/works/OL31271945W,search_ta,200
9788501093882,will e will um nome um destino,"john green, david levithan",,,,,,,,none,200
9788532511010,harry potter e a pedra filosofal,j k rowling,,,,,,,,none,200
9788532511669,harry potter e a camara secreta,j k rowling,,,,,,,,none,200
9788532512062,harry potter e o prisioneiro de azkaban,j k rowling,Harry Potter e o Prisioneiro de Azkaban,J. K. Rowling,,2020.0,,,/works/OL42531157W,search_ta,200
9788535928839,a insustentavel leveza do ser,milan kundera,A Insustentável Leveza do Ser,MILAN KUNDERA,,2017.0,,,/works/OL26415181W,search_ta,200
